Trial Number	Score	Moogles Eaten	Time Taken	Data Location
0	4400	67	83.27532863616943	pygtest3data0
1	3676	60	54.42563080787659	pygtest3data1
2	3979	64	52.450093269348145	pygtest3data2
3	4080	68	77.0068907737732	pygtest3data3
4	3779	63	51.47007203102112	pygtest3data4
5	4405	66	49.34507989883423	pygtest3data5
6	4023	65	74.76720571517944	pygtest3data6
7	4513	72	86.01220417022705	pygtest3data7
8	3605	58	45.85200500488281	pygtest3data8
9	4639	74	89.65636968612671	pygtest3data9
10	3380	56	48.35672855377197	pygtest3data10
11	4353	67	75.09989833831787	pygtest3data11
12	3668	55	34.51345896720886	pygtest3data12
13	3471	60	71.00211095809937	pygtest3data13
14	4382	73	95.45084643363953	pygtest3data14
15	4420	69	67.90863990783691	pygtest3data15
16	4071	64	64.70592951774597	pygtest3data16
17	3515	57	35.9797899723053	pygtest3data17
18	3494	55	26.65587019920349	pygtest3data18
19	3794	61	35.30398941040039	pygtest3data19
20	4403	71	84.57332348823547	pygtest3data20
21	3963	65	69.42492198944092	pygtest3data21
22	4303	67	69.75235629081726	pygtest3data22
23	3916	65	69.27491235733032	pygtest3data23
24	3979	63	56.90442180633545	pygtest3data24
25	4430	74	95.78415727615356	pygtest3data25
26	3711	60	43.622414112091064	pygtest3data26
27	3984	63	58.39943790435791	pygtest3data27
28	4039	65	54.838276863098145	pygtest3data28
29	3925	63	51.260541915893555	pygtest3data29
30	4160	70	107.82343173027039	pygtest3data30
31	4346	66	49.68236517906189	pygtest3data31
32	3971	64	68.55681157112122	pygtest3data32
33	4532	73	144.101655960083	pygtest3data33
34	4423	64	48.29354977607727	pygtest3data34
35	3400	55	67.68455123901367	pygtest3data35
36	4766	74	114.6199381351471	pygtest3data36
37	4315	71	93.21180939674377	pygtest3data37
38	3497	57	33.40025091171265	pygtest3data38
39	3848	61	38.05949115753174	pygtest3data39
40	4320	63	70.12263464927673	pygtest3data40
41	4034	62	52.93593716621399	pygtest3data41
42	3736	61	53.55460238456726	pygtest3data42
43	4271	67	68.39681434631348	pygtest3data43
44	4349	78	102.70279622077942	pygtest3data44
45	4352	65	114.07271003723145	pygtest3data45
46	3589	56	33.136810541152954	pygtest3data46
47	3624	56	45.83085823059082	pygtest3data47
48	3789	63	53.95377063751221	pygtest3data48
49	4984	83	141.0121579170227	pygtest3data49
50	3885	63	50.02446937561035	pygtest3data50
51	3654	60	41.15519833564758	pygtest3data51
52	4231	66	107.50671982765198	pygtest3data52
53	3906	60	62.75161075592041	pygtest3data53
54	3705	59	50.64511823654175	pygtest3data54
55	4231	65	58.874897480010986	pygtest3data55
56	3707	58	24.57396149635315	pygtest3data56
57	3818	60	37.07882475852966	pygtest3data57
58	3442	57	54.07604455947876	pygtest3data58
59	3756	60	44.646045446395874	pygtest3data59
60	3543	60	36.904611110687256	pygtest3data60
61	4830	71	89.28592491149902	pygtest3data61
62	3786	61	42.3094642162323	pygtest3data62
63	3929	63	69.28643107414246	pygtest3data63
64	3741	61	37.33260631561279	pygtest3data64
65	4122	66	47.11970615386963	pygtest3data65
66	4310	70	138.18965458869934	pygtest3data66
67	3264	56	15.27007007598877	pygtest3data67
68	3885	62	96.33864974975586	pygtest3data68
69	3903	63	104.68264508247375	pygtest3data69
70	3400	57	34.31707215309143	pygtest3data70
71	4231	65	81.77070426940918	pygtest3data71
72	3450	60	14.849711179733276	pygtest3data72
73	4471	67	135.55901312828064	pygtest3data73
74	3572	61	39.62078237533569	pygtest3data74
75	3847	63	61.32787084579468	pygtest3data75
76	4250	67	86.61625385284424	pygtest3data76
77	4531	71	63.15699315071106	pygtest3data77
78	3486	59	49.61490869522095	pygtest3data78
79	3524	56	31.21512770652771	pygtest3data79
80	3841	62	51.69425582885742	pygtest3data80
81	3889	62	41.311904191970825	pygtest3data81
82	4059	65	49.82799410820007	pygtest3data82
